12726.97727 12764.93032 12748.56991 12692.45536 12605.97814 12495.55029 12365.74528 12219.94039 12060.69970 11890.01703 11709.47226
12738.32669 12805.85416 12819.06817 12792.52803 12735.62523 12654.77180 12554.54121 12438.31074 12308.64448 12167.53622 12016.56588
12725.09911 12818.06538 12856.71819 12855.61685 12824.15284 12768.73821 12693.94642 12603.15474 12498.92727 12383.25782 12257.72627
12690.69256 12805.56537 12866.12473 12886.92995 12877.37248 12843.86440 12790.97915 12722.09403 12639.77311 12546.01020 12442.38520
12638.04233 12771.80675 12851.25770 12890.95451 12900.28865 12885.67217 12851.67853 12801.68500 12738.25568 12663.38437 12578.65097
12569.68526 12719.77039 12815.54204 12871.55956 12897.21441 12898.91863 12881.24569 12847.57288 12800.46426 12741.91365 12673.50097
12487.79927 12652.01274 12761.91275 12832.05862 12871.84182 12887.67439 12884.12980 12864.58533 12831.60507 12787.18281 12732.89847
12394.25051 12570.72181 12692.87965 12775.28335 12827.32438 12855.41478 12864.12802 12856.84138 12836.11895 12803.95452 12761.92801
12290.63540 12477.76735 12610.58583 12703.65017 12766.35185 12805.10289 12824.47678 12827.85078 12817.78899 12796.28521 12764.91935
12178.31824 12374.74537 12516.85903 12619.21856 12691.21541 12739.26164 12767.93071 12780.59990 12779.83329 12767.62469 12745.55400
12058.46448 12263.01771 12413.25747 12523.74310 12603.86605 12660.03838 12696.83355 12717.62884 12724.98833 12720.90583 12706.96125
