  8240.151      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 13520.705  16437.105      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
  4766.417  18404.923  11799.937      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
  1443.907   5835.122  12637.879  16422.181      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
   217.111   1012.592   2202.389  13324.928  20753.238      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
    63.638    255.277    604.010   4489.507  36366.427  60277.290      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
    25.418     66.740    283.846   1758.499  19093.035 116035.896 194787.221      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
     3.124     14.644     97.214    683.671   8572.972  65500.771 383023.361 607387.998      0.000      0.000      0.000      0.000      0.000      0.000      0.000
     1.791      6.952     20.137    172.590   2781.011  23747.286 142302.483 817155.153 857559.977      0.000      0.000      0.000      0.000      0.000      0.000
     0.000      0.000      0.000     11.360    209.439   1896.078  14415.570  90148.862 380840.503 274483.256      0.000      0.000      0.000      0.000      0.000
     0.000      0.000      0.000      0.000      4.574     65.537    519.663   4499.105  21204.608  79382.778  41939.342      0.000      0.000      0.000      0.000
     0.000      0.000      0.000      0.000      0.000      0.000      5.267    101.024    622.342   3006.563   8753.149   3589.363      0.000      0.000      0.000
     0.000      0.000      0.000      0.000      0.000      0.838      3.369      4.932     41.901    163.222    741.803   1449.704    546.384      0.000      0.000
     0.000      0.000      0.000      0.000      0.000      0.000      0.000      1.619      1.774     13.252     31.680    202.685    168.260     49.070      0.000
     0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.695      1.136      1.048      4.480     10.577      8.088      0.000
