# mass_bin, # detections, zmid_1, zmid_2, maxL_1, maxL_2, a_1, zeta_1, delta_2, gamma_2
     0.000   1013.000      0.011      0.002   7323.457   8240.151      2.915      0.453   1740.720   -161.289
     1.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
     2.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
     3.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
     4.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
     5.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
     6.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
     7.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
     8.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
     9.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
    10.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
    11.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
    12.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
    13.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
    14.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
    10.000   1589.000      0.041      0.020  13270.531  13520.705      4.966      0.348    762.952    -75.496
    11.000   1913.000      0.057      0.047  16325.909  16437.105      5.659      0.279    258.561    -12.701
    12.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
    13.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
    14.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
    15.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
    16.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
    17.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
    18.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
    19.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
   110.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
   111.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
   112.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
   113.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
   114.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
    20.000    633.000      0.054      0.047   4738.131   4766.417      5.296      0.787    235.978     -0.033
    21.000   2140.000      0.070      0.064  18328.511  18404.923      6.044      0.234    127.228      8.475
    22.000   1449.000      0.077      0.069  11744.775  11799.937      5.900      0.344    128.459      0.097
