     0.453      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
     0.348      0.279      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
     0.787      0.234      0.344      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
     4.768      0.819      3.641      0.568      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
     0.600      0.950      0.287      0.298      0.482      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
     0.500      4.909      1.757      0.653      0.319      1.484      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
     0.303      0.911      0.444      5.305      1.288      0.465      0.496      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
     4.092      0.445      2.437      0.408      0.444      0.669      0.541      4.669      0.000      0.000      0.000      0.000      0.000      0.000      0.000
    17.362 8056838498.009     11.797      1.187      1.173      1.014      0.000      0.475      0.000      0.000      0.000      0.000      0.000      0.000      0.000
     0.000      0.000      0.000      5.467      0.836      0.603      1.409      0.617      0.000      0.326      0.000      0.000      0.000      0.000      0.000
     0.000      0.000      0.000      0.000      0.322      0.569      0.348      0.394      3.778      4.665      4.364      0.000      0.000      0.000      0.000
     0.000      0.000      0.000      0.000      0.000      0.000      2.557      3.264      0.712      4.067      3.784      4.041      0.000      0.000      0.000
     0.000      0.000      0.000      0.000      0.000  30482.896      0.065      0.839      2.963      3.800      0.348      4.145      0.547      0.000      0.000
     0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.608      0.000      0.223      3.067      0.541      7.066      0.281      0.000
     0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.031 939602892.681      0.614      0.000      3.863      1.120      0.000
