# dL_mid, dL_binned_prob, dLm_detections
2.015426549409565382e+02 5.421907708676853010e-01 1.200000000000000000e+01
4.132812698765805521e+02 6.295296933342744428e-01 4.900000000000000000e+01
6.250198848122045092e+02 3.485749997389466781e-01 5.500000000000000000e+01
8.367584997478284095e+02 2.712368474311128708e-01 6.900000000000000000e+01
1.048497114683452537e+03 1.462153028308987024e-01 5.300000000000000000e+01
1.260235729619076437e+03 9.196998306647827248e-02 4.400000000000000000e+01
1.471974344554700565e+03 5.503806986154910486e-02 3.300000000000000000e+01
1.683712959490324465e+03 2.762194528968575299e-02 2.000000000000000000e+01
1.895451574425948365e+03 1.293484737787986734e-02 1.100000000000000000e+01
2.107190189361572266e+03 1.022946527374144800e-02 1.000000000000000000e+01
2.318928804297196621e+03 2.715670725315656384e-03 3.000000000000000000e+00
2.530667419232820066e+03 2.436678781720259986e-03 3.000000000000000000e+00
2.742406034168444421e+03 2.948672090328463297e-03 4.000000000000000000e+00
2.954144649104068321e+03 6.754888499348359662e-04 1.000000000000000000e+00
3.165883264039692222e+03 1.248046880849356614e-03 2.000000000000000000e+00
3.377621878975316577e+03 0.000000000000000000e+00 0.000000000000000000e+00
3.589360493910940022e+03 0.000000000000000000e+00 0.000000000000000000e+00
3.801099108846564377e+03 0.000000000000000000e+00 0.000000000000000000e+00
4.012837723782187823e+03 0.000000000000000000e+00 0.000000000000000000e+00
