# dL_mid, dL_binned_prob, dLm_detections
7.979535243385717536e+01 1.306245892737720737e+00 7.000000000000000000e+00
1.735246299944425914e+02 4.538729967118187436e-01 1.000000000000000000e+01
2.672539075550280359e+02 6.354270261527747987e-01 3.100000000000000000e+01
3.609831851156134235e+02 2.738326270348528380e-01 2.300000000000000000e+01
4.547124626761989248e+02 2.216563558385850896e-01 2.800000000000000000e+01
5.484417402367843124e+02 1.774761642997548239e-01 3.100000000000000000e+01
6.421710177973698137e+02 5.698655553067814156e-02 1.300000000000000000e+01
7.359002953579552013e+02 6.995314169017081973e-02 2.000000000000000000e+01
8.296295729185405889e+02 8.636496131309236504e-03 3.000000000000000000e+00
9.233588504791259766e+02 1.942038612735822595e-02 8.000000000000000000e+00
1.017088128039711478e+03 1.252205207717664061e-02 6.000000000000000000e+00
1.110817405600296752e+03 1.822818207078245965e-03 1.000000000000000000e+00
1.204546683160882367e+03 1.613105482779452144e-03 1.000000000000000000e+00
1.298275960721467754e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.392005238282053142e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.485734515842638757e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.579463793403223917e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.673193070963809532e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.766922348524394693e+03 0.000000000000000000e+00 0.000000000000000000e+00
