# dL_mid, dL_binned_prob, dLm_detections
1.862053438487805863e+02 7.833190823836623240e-01 3.800000000000000000e+01
4.750168265292519436e+02 5.407963141604494872e-01 1.270000000000000000e+02
7.638283092097233293e+02 3.457001142186295062e-01 1.790000000000000000e+02
1.052639791890194601e+03 2.061179459712136619e-01 1.770000000000000000e+02
1.341451274570665873e+03 9.965647029915963850e-02 1.230000000000000000e+02
1.630262757251137373e+03 6.935066481959702156e-02 1.130000000000000000e+02
1.919074239931608645e+03 3.932414402993444913e-02 8.000000000000000000e+01
2.207885722612079917e+03 2.088017254112051885e-02 5.100000000000000000e+01
2.496697205292551189e+03 1.368787587067925998e-02 3.900000000000000000e+01
2.785508687973022461e+03 5.843651063931054948e-03 1.900000000000000000e+01
3.074320170653493733e+03 3.290577788212579232e-03 1.200000000000000000e+01
3.363131653333965005e+03 4.958014205213264521e-04 2.000000000000000000e+00
3.651943136014436732e+03 1.586705667005527520e-03 7.000000000000000000e+00
3.940754618694908004e+03 4.184579234593829183e-04 2.000000000000000000e+00
4.229566101375379731e+03 0.000000000000000000e+00 0.000000000000000000e+00
4.518377584055850093e+03 3.647221714021883906e-04 2.000000000000000000e+00
4.807189066736322275e+03 0.000000000000000000e+00 0.000000000000000000e+00
5.096000549416792637e+03 0.000000000000000000e+00 0.000000000000000000e+00
5.384812032097264819e+03 0.000000000000000000e+00 0.000000000000000000e+00
