# dL_mid, dL_binned_prob, dLm_detections
4.389562747353001271e+01 6.041810893186267961e-01 9.000000000000000000e+00
1.051245655260587881e+02 7.848666957671370792e-01 5.700000000000000000e+01
1.663535035785875777e+02 5.342276790948500276e-01 9.200000000000000000e+01
2.275824416311163532e+02 3.301053227582697591e-01 1.020000000000000000e+02
2.888113796836451002e+02 2.338661527073996604e-01 1.120000000000000000e+02
3.500403177361739608e+02 1.739377208055492841e-01 1.180000000000000000e+02
4.112692557887027078e+02 8.735578650238884357e-02 7.900000000000000000e+01
4.724981938412314548e+02 4.679409983692882358e-02 5.400000000000000000e+01
5.337271318937603155e+02 3.930157516603892398e-02 5.600000000000000000e+01
5.949560699462890625e+02 1.866067294156743828e-02 3.200000000000000000e+01
6.561850079988178095e+02 6.429513519814722931e-03 1.300000000000000000e+01
7.174139460513465565e+02 2.132736948356034855e-03 5.000000000000000000e+00
7.786428841038754172e+02 2.611246205775946856e-03 7.000000000000000000e+00
8.398718221564041642e+02 2.310654231747344065e-03 7.000000000000000000e+00
9.011007602089330248e+02 2.950432608292270732e-04 1.000000000000000000e+00
9.623296982614617718e+02 0.000000000000000000e+00 0.000000000000000000e+00
1.023558636313990519e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.084787574366519493e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.146016512419048013e+03 0.000000000000000000e+00 0.000000000000000000e+00
