# dL_mid, dL_binned_prob, dLm_detections
1.512341756318745070e+02 7.578498521215013550e-01 2.800000000000000000e+01
3.692730377598812765e+02 5.393056891797733954e-01 9.300000000000000000e+01
5.873118998878881030e+02 3.942234681244023986e-01 1.510000000000000000e+02
8.053507620158948157e+02 2.451478865550268949e-01 1.580000000000000000e+02
1.023389624143901756e+03 1.126829548309131179e-01 1.060000000000000000e+02
1.241428486271908469e+03 6.109294274632388888e-02 7.700000000000000000e+01
1.459467348399915409e+03 4.136410287289150889e-02 6.600000000000000000e+01
1.677506210527922121e+03 1.597493260149644365e-02 3.100000000000000000e+01
1.895545072655928834e+03 1.134892250907686313e-02 2.600000000000000000e+01
2.113583934783935547e+03 6.430433979233191218e-03 1.700000000000000000e+01
2.331622796911942714e+03 4.004975652571904528e-03 1.200000000000000000e+01
2.549661659039948972e+03 1.195124928748608067e-03 4.000000000000000000e+00
2.767700521167956140e+03 0.000000000000000000e+00 0.000000000000000000e+00
2.985739383295962853e+03 2.476940035851659815e-04 1.000000000000000000e+00
3.203778245423969565e+03 2.285689000934653216e-04 1.000000000000000000e+00
3.421817107551976733e+03 2.124449471791050063e-04 1.000000000000000000e+00
3.639855969679982991e+03 0.000000000000000000e+00 0.000000000000000000e+00
3.857894831807990158e+03 0.000000000000000000e+00 0.000000000000000000e+00
4.075933693935996416e+03 0.000000000000000000e+00 0.000000000000000000e+00
