# dL_mid, dL_binned_prob, dLm_detections
7.884983875876977777e+01 9.111610905407238059e-01 2.800000000000000000e+01
1.543385101117585805e+02 6.475469947650511759e-01 6.900000000000000000e+01
2.298271814647473548e+02 5.237061757910230764e-01 1.170000000000000000e+02
3.053158528177361859e+02 3.645376128012279282e-01 1.370000000000000000e+02
3.808045241707249033e+02 2.038771283940224166e-01 1.140000000000000000e+02
4.562931955237137345e+02 1.273605378023613677e-01 9.800000000000000000e+01
5.317818668767024519e+02 9.169331024666023400e-02 9.200000000000000000e+01
6.072705382296912830e+02 5.326575782029383671e-02 6.700000000000000000e+01
6.827592095826801142e+02 2.940400332371207598e-02 4.500000000000000000e+01
7.582478809356689453e+02 1.539477426802125272e-02 2.800000000000000000e+01
8.337365522886576628e+02 8.486307064141548201e-03 1.800000000000000000e+01
9.092252236416464939e+02 4.105957694670163763e-03 1.000000000000000000e+01
9.847138949946352113e+02 2.897986144614356045e-03 8.000000000000000000e+00
1.060202566347624042e+03 6.462296815833277639e-04 2.000000000000000000e+00
1.135691237700612874e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.211179909053601477e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.286668580406590536e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.362157251759579140e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.437645923112568198e+03 0.000000000000000000e+00 0.000000000000000000e+00
