# dL_mid, dL_binned_prob, dLm_detections
1.259794107738294144e+02 9.753746136574397152e-01 1.200000000000000000e+01
2.580745772311562405e+02 6.242917821363379582e-01 2.800000000000000000e+01
3.901697436884829813e+02 3.932896536972682600e-01 3.700000000000000000e+01
5.222649101458098357e+02 3.004939897513969060e-01 4.700000000000000000e+01
6.543600766031365765e+02 1.353157036390985057e-01 3.100000000000000000e+01
7.864552430604633173e+02 9.677626235005874766e-02 3.000000000000000000e+01
9.185504095177902855e+02 3.774424925931684632e-02 1.500000000000000000e+01
1.050645575975117026e+03 2.449029573497361195e-02 1.200000000000000000e+01
1.182740742432443767e+03 2.045576240350543279e-02 1.200000000000000000e+01
1.314835908889770508e+03 7.283957326779163383e-03 5.000000000000000000e+00
1.446931075347097249e+03 3.803833017751235331e-03 3.000000000000000000e+00
1.579026241804424217e+03 3.360454029373387969e-03 3.000000000000000000e+00
1.711121408261750958e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.843216574719077926e+03 9.054947229672274944e-04 1.000000000000000000e+00
1.975311741176404666e+03 0.000000000000000000e+00 0.000000000000000000e+00
2.107406907633731407e+03 0.000000000000000000e+00 0.000000000000000000e+00
2.239502074091058148e+03 0.000000000000000000e+00 0.000000000000000000e+00
2.371597240548384889e+03 0.000000000000000000e+00 0.000000000000000000e+00
2.503692407005711630e+03 0.000000000000000000e+00 0.000000000000000000e+00
