     4.872      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
     4.985      4.597      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
     0.715      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
     0.299      3.417      1.026      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
     0.000      0.462      4.999      0.296      4.839      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
     4.925      4.561      4.737      4.486      4.432      3.106      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
     5.453      3.844      5.347      3.570      0.912      0.000      4.146      0.000      0.000      0.000      0.000      0.000      0.000      0.000
     4.010      4.008      4.723      4.680      4.566      0.000      4.510      4.338      0.000      0.000      0.000      0.000      0.000      0.000
     0.000      0.355      1.136      1.330      5.337      5.088      0.319      0.397      3.005      0.000      0.000      0.000      0.000      0.000
148801.636      5.303      0.586      0.311      0.560      0.269      0.306      1.634      4.588      3.895      0.000      0.000      0.000      0.000
     0.000      0.000      0.000      0.469      4.859      3.212      0.308      0.445      4.075      3.876      0.562      0.000      0.000      0.000
     0.000      0.000      0.000      0.402      1.409      0.468      0.477      4.164      3.514      3.633      3.414      3.591      0.000      0.000
     0.000      0.000      0.000      0.000      0.917      3.665      0.313      4.168      4.081      4.314      3.755      3.735      2.254      0.000
     0.000      0.000      0.000      0.000      0.000 582786969.119      0.457      0.790      4.365      1.745      2.924      3.915      0.431      4.958
