 329.11091  330.46752  329.45777  326.71600  322.65137  317.54325  311.59089  304.94145  297.70663  289.97330  281.81029
 329.65017  332.42839  332.84025  331.52009  328.87707  325.19055  320.65981  315.43197  309.61876  303.30704  296.56564
 328.97967  332.97334  334.60066  334.49595  333.06838  330.59732  327.28203  323.26965  318.67189  313.57562  308.04968
 327.27279  332.30699  334.97484  335.91066  335.52363  334.09311  331.81835  328.84651  325.28928  321.23355  316.74814
 324.67866  330.60511  334.16521  335.99329  336.49850  335.96023  334.57772  332.49812  329.83315  326.66966  323.07650
 321.32501  328.01805  332.34473  334.93939  336.21120  336.43951  335.82359  334.51058  332.61219  330.21529  327.38872
 317.32083  324.67395  329.66072  332.91546  334.84734  335.73573  335.77989  335.12695  333.88864  332.15182  329.98533
 312.75893  320.68179  326.23829  330.06276  332.56438  334.02250  334.63640  334.55320  333.88462  332.71754  331.12078
 307.71822  316.13411  322.18364  326.50115  329.49580  331.44695  332.55388  332.96371  332.78817  332.11412  331.01039
 302.26570  311.10940  317.58675  322.33207  325.75454  328.13351  329.66825  330.50590  330.75818  330.51194  329.83603
 296.45827  305.67424  312.52387  317.64146  321.43620  324.18745  326.09446  327.30439  327.92893  328.05497  327.75133
