# ['gamma', 'delta', 'b_0, b_1, b_2'], ['cte', 'a20', 'a01', 'a21', 'a10', 'a11', 'c1', 'c11']
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
-0.9361610356146606 0.3086626927207781 -5.957384723446594 0.023585166929525107 -2.675979538438853e-05 81.33076332635724 -8.065014456115028e-06 -0.6041453629173243 -1.5406165901304994e-06 0.0009155191245706872 -0.0011559479988276556 0.1674516905150622 0.001964151429228886
-0.9957321837100214 0.3269769066067067 -6.298633797621512 0.0262123764392639 -3.236550071204594e-05 81.81377518266956 -7.994896223648407e-06 -0.5391550308446074 -1.4165921354188515e-06 0.0008539536829729967 -0.0013735020498495361 0.16337036079648765 0.0021135249831800563
-0.9578533388121384 0.31538175165636034 -6.192670628024811 0.025562435878517486 -3.195939842716144e-05 81.73081635653601 -8.77842687861583e-06 -0.6444322804377792 -1.0527028375724335e-06 0.0009956783386412893 -0.0008276320334837787 0.16559315267074576 0.0020724201019923323
-0.9403059033280974 0.308208121452562 -5.76336568803195 0.01957141117579692 -1.8586342977645743e-05 82.1312068528892 -7.652176809317974e-06 -0.46246470901008957 -1.7284286835265123e-06 0.0006812149361205353 -0.0018939811554495195 0.1797471730749697 0.0018699896923453476
-0.9748201867546918 0.3154414437399548 -6.33206154006888 0.026057452435511167 -3.1172587120062256e-05 81.26702996860504 -7.399179829684872e-06 -0.5450798575384235 -1.496112196073118e-06 0.0007330242093246161 -0.0015763077455095476 0.16640835415742286 0.0019956152831119528
-0.9897464398603792 0.32288068696204225 -6.293799680688519 0.02760527034215851 -3.523822242548552e-05 80.76979089916638 -8.357651519730701e-06 -0.545559040499964 1.632037235031076e-07 0.0010268537893591049 -0.0024066377493237156 0.18418889101671265 0.0020606947299699743
-0.9914154657265535 0.32398495283109313 -6.539269866081656 0.027944380070374433 -3.59791245192638e-05 81.88406344022079 -7.476933401814861e-06 -0.5465405954804702 3.005756571569586e-07 0.0007303553911009441 -0.0017290086569062308 0.1704252466933061 0.001944233622125334
-0.9434913386552798 0.3094683848445026 -6.7203717140374675 0.028240212611168693 -3.483050323255759e-05 80.92815281943751 -8.123250429131127e-06 -0.5099085917221031 2.2571455127084569e-07 0.0009128614793331709 -0.002187773332017945 0.1649093020700405 0.0019906689794642876
-0.9801235810626212 0.31830663767861567 -6.545791436081831 0.028749752137032018 -3.758586685265994e-05 80.99681926354242 -7.901703957215487e-06 -0.47711707868115355 2.4819324017795114e-07 0.0009000490247906246 -0.002338054123227588 0.16030150102248308 0.002054453247634072
-0.9834525011426423 0.3196126588903405 -6.715446159738807 0.02886619290484851 -3.570162141078369e-05 81.44112219024629 -7.907153569246797e-06 -0.5290767772190066 3.694551132148294e-07 0.0008552650525244738 -0.0014059563620122451 0.17094039364201563 0.0019007513209946562
-0.964192312375372 0.31552855062673996 -6.778923044750943 0.029158618535712014 -3.7729837226003055e-05 81.12748355384173 -8.127118157856414e-06 -0.5171722146001967 1.220991541807559e-07 0.0009057451725157156 -0.0021207007858473044 0.18442508192795617 0.001868693338603971
-1.0046344482232392 0.32756516211220454 -6.656811864983293 0.02809985817011596 -3.563494025917094e-05 81.26915391257435 -8.259140711124876e-06 -0.5649621506919275 1.3347202454883285e-07 0.0009130789425372718 -0.0016656620103016882 0.17592839435990681 0.0019565825954527384
-0.9941847172090829 0.32323556720743424 -8.055305788555827 0.039758934589258624 -5.6608790668460545e-05 80.82092968147799 -8.02241652857974e-06 -0.4920602598942176 1.3976852832037578e-07 0.0008950713533268104 -0.002408785116755473 0.1647946519378758 0.0019623191585489506
-0.9880903681316136 0.3150668276317019 -7.9942289033139495 0.03804134309924756 -5.274494419346015e-05 80.62741772253052 -7.925265403783331e-06 -0.46410977725563907 2.018170423513869e-07 0.0008617232078592358 -0.0023641368180629284 0.15637561060404873 0.002017499097164969
-1.061508026830975 0.33673844235439626 -8.087541475089536 0.03937380836329894 -5.5888428002425145e-05 80.51991012262695 -7.929465301448794e-06 -0.4877972149986437 2.3404569479686417e-07 0.0008353198514974463 -0.0022483537917724135 0.16564965418862285 0.0018973667777918775
-0.9941098970487623 0.31650123406938135 -7.031114354708006 0.030759265143661445 -3.8315296828407734e-05 80.36265677453423 -7.717027523624389e-06 -0.5176897280005175 2.83828105381192e-07 0.000813834060957609 -0.0017083618200514354 0.16831257602679905 0.0021149131049956254
-0.9902098952303561 0.3201505212523894 -7.053258900374488 0.030967111413966936 -3.978907042402166e-05 80.8424940343167 -8.28685834637023e-06 -0.5341998864433755 2.7924889232519354e-07 0.0009454100413060587 -0.0022315783148641336 0.15775284772165785 0.0020450992859843255
-1.0311411777106203 0.3324714162383045 -7.2338426088768895 0.03175268773570945 -4.052829562576778e-05 81.38821099831524 -8.156200576009778e-06 -0.6131116649059349 3.639837366366769e-07 0.0008341959647257338 -0.0009637178645763823 0.17586494453535947 0.0018672913692650635
-1.0164806733771456 0.32590756860004605 -6.102298222712397 0.023753962311496617 -2.6780354878299057e-05 81.46387349611715 -7.777946095074495e-06 -0.5465343756169811 1.4305339019265057e-07 0.0007414348863164575 -0.0014949183562522896 0.14918965525569508 0.0020152152558473605
-0.9488490831275109 0.310280902427451 -6.680212308727093 0.027618114697144893 -3.2386372177854925e-05 80.71888682354239 -7.8796937375971e-06 -0.49040493841785 1.4925025581021175e-07 0.0008630840471047191 -0.0018835828503796978 0.1736838905534119 0.0019268124221593745
-0.9885513756202089 0.31653229600749855 -6.665062688241415 0.02781981426747243 -3.2166864067917345e-05 80.92840975622816 -7.603680036651471e-06 -0.48146388548334185 1.3998806804127491e-07 0.000821208262266884 -0.002794633650936561 0.152841644247116 0.0021538240149432484
-1.014814416289021 0.3269182488894976 -6.785002638120353 0.0283653772824865 -3.328942013407708e-05 81.02029902073534 -7.759293542304923e-06 -0.49813193784259535 1.6700334824420544e-07 0.0008330192151640134 -0.002136475070851714 0.18198131112690763 0.001792961033900475
-0.9690340005400987 0.3125979747196641 -6.504815304385198 0.0265206663014991 -3.0291027701704353e-05 81.1285855353781 -7.4739236515022194e-06 -0.593962278085552 2.192479896191459e-07 0.000758193178954442 -0.0018867427793209475 0.15366024911300075 0.0021442421245295882
-0.9889077472460293 0.3200044004312655 -6.560348275361793 0.02899995281430858 -3.7640205898111385e-05 81.07776584644682 -7.803455799447864e-06 -0.5387456612484123 2.430111336657578e-07 0.0008407306585027858 -0.0016594927856284469 0.17292507866764353 0.002038162845460229
-1.036889736318155 0.33480677823759525 -5.861924266378125 0.02226818600723023 -2.4138600091465822e-05 81.1202204600275 -8.072184448082675e-06 -0.5441292177099355 2.6487370941448374e-07 0.0008979301534451651 -0.0016422561371849638 0.1689413093188586 0.0020334038951496424
-1.0306054214965652 0.33618608082086365 -7.1617047903444035 0.03501897469035411 -5.168720904195865e-05 81.01863962807069 -8.429959027148157e-06 -0.5204409352481434 2.8827184600736707e-07 0.0010075126639015417 -0.0018849378358772862 0.1470149880589829 0.0021976068660594186
-1.025208275223175 0.3343595659074991 -7.358449322619826 0.034889490332839765 -4.868254121769543e-05 81.72876423875425 -7.664705292446834e-06 -0.5428898867121348 2.524030737510798e-07 0.0007712496444391708 -0.0018137739497835173 0.1835779140321191 0.0018960825478805442
-1.0147821973494602 0.32895626044418674 -5.877067845866686 0.022962682348960744 -2.5834120103729476e-05 81.01947535450797 -8.246786741388203e-06 -0.49814993701801025 2.899654077258822e-07 0.0009675512103697054 -0.002151772093934654 0.15331464310689763 0.002068049419230532
-0.9750810126356403 0.31928800046335204 -6.925935233138541 0.0295968654759642 -3.566270782656315e-05 80.99495469483941 -7.90946611807158e-06 -0.5477864005392384 3.736829168397033e-07 0.0008828438933770952 -0.0017129249290696229 0.17043507320885304 0.00195386623708423
-0.9933941800932746 0.3260501739661718 -6.9333546345313035 0.030965625568821285 -3.963629306894686e-05 80.710947296793 -7.772526674494836e-06 -0.4939743076190453 4.4797155857582204e-07 0.0008994114186534284 -0.0022072010619929175 0.15887748824548675 0.0019903983909846388
-0.9302516342274562 0.3062708681964597 -6.170022286918195 0.02455787025114392 -2.6738068401152127e-05 81.33546570814914 -7.3234473776373595e-06 -0.450593962240347 4.89885311352004e-07 0.0007922171844400741 -0.002572553500426106 0.1757017074948076 0.0018624715769205713
-1.0454641064023749 0.3392260698868828 -6.276943102210863 0.026581285288642405 -3.206584038657794e-05 81.08333224671898 -7.91324240558717e-06 -0.48906317694135093 3.87173429845328e-07 0.0009499644366912233 -0.002128378770901344 0.17389389159478924 0.001995578200436483
-0.9886779094014959 0.3228739646354194 -6.361623792962964 0.026062583811339704 -3.205238678733335e-05 81.15449144252088 -7.965120124619947e-06 -0.5102862764222875 5.859311974495737e-07 0.0008570347454615258 -0.0017425651549032024 0.17854770732510172 0.0019658805476793825
-1.0880077054510062 0.34946476490176875 -6.376279206026825 0.026380137481424603 -3.214427002911284e-05 80.87836985956591 -8.349557478299215e-06 -0.4963306630390395 3.919197845805889e-07 0.0009564765981198036 -0.002353658477015676 0.16353673104097927 0.0020565313579024133
-0.9452167048425849 0.309192880872979 -7.310378927924573 0.03205933946413586 -3.9680602022813016e-05 80.94550972852099 -7.689216266529465e-06 -0.48796825667059507 4.506612820036143e-07 0.0008205480202015435 -0.0020974586807046168 0.1517921223857454 0.0020887594476060563
-0.9861366775156566 0.31707153972395946 -5.9839892106246415 0.022737987568209276 -2.340436233950101e-05 80.94551758111606 -8.04878938019595e-06 -0.5182064430825646 2.6613694390716906e-07 0.0009275117991812399 -0.0023713825341299425 0.18666628471408742 0.0018984833347181888
-0.9325685659236425 0.30625959456794805 -6.44490701259269 0.026408811048546244 -3.1004097876671615e-05 81.18498658966274 -7.757781731260784e-06 -0.5516002317658371 3.4812134132460565e-07 0.0008159439059766288 -0.001800015492713216 0.15334030241433322 0.002106021064235606
-0.9785117284395386 0.32116613041332404 -6.42841275107147 0.02671330091770455 -3.3364389506578766e-05 81.99021807736064 -8.119795415608074e-06 -0.6562274991777013 4.7062112681252225e-07 0.0008328663476071026 -0.0007029384866772513 0.14673696566541403 0.0019931299647884364
-0.9957139202726959 0.3213378866555969 -6.388188620193853 0.027150887378956982 -3.387722719952097e-05 80.87960445807607 -7.863441564619285e-06 -0.5316513986659253 6.677111052680397e-08 0.0008543281368433688 -0.0015992282331637412 0.1823450120610778 0.0019022444795905246
-1.0072073533751094 0.3272855936741121 -6.5559826599392474 0.02685840821733276 -3.2501304526927464e-05 81.3420661045658 -8.260698604819192e-06 -0.527255621486316 6.996127009344745e-08 0.0009023144383570646 -0.0017338701664500104 0.1737235767791008 0.0018645109724906026
-0.9973051301321985 0.3207252036206138 -6.614400692378345 0.02765685733077141 -3.2467638935580204e-05 80.41798551925149 -8.061051713412255e-06 -0.4913790422616813 7.344949161937e-08 0.0009337356614254665 -0.0020374441716277964 0.1525548926638422 0.002019952578492641
-1.036364574836893 0.33314652265223077 -6.699375436712035 0.028303016966215573 -3.3689328104916035e-05 80.82840820972314 -7.728969213066222e-06 -0.5431963055357871 7.448943557790893e-08 0.000820907047539086 -0.0019674325017851923 0.16152546503310775 0.002173062136284101
-1.102359058803951 0.3537385728765198 -6.869168140826099 0.029446893037330127 -3.6015648744203336e-05 81.31368748592986 -8.089574086342307e-06 -0.46989171908546457 8.243805536944724e-08 0.0008718012358099659 -0.0021871175680923706 0.14350352338327632 0.0021497105742019837
-1.0387757783574574 0.33527001855630395 -6.657162965098878 0.029154110824134834 -3.761372780712527e-05 81.21157736644386 -7.686189079003074e-06 -0.5761842122075747 1.0366047501023633e-07 0.0007928166554585841 -0.001240787740692606 0.16479207014033198 0.0019207292843613942
-1.007069834825053 0.3261101552601516 -7.026209155914868 0.0312548357490866 -4.007947228785141e-05 81.43148075703138 -7.641819390856857e-06 -0.5073984671111813 1.0693446951917882e-07 0.0007659516475302572 -0.0021738746524272963 0.1624488738481838 0.0020831292281328706
-0.9719667933306263 0.31507856599707296 -7.32929745498554 0.03125744071106279 -3.8042422856078473e-05 81.24765586165663 -8.32582104051977e-06 -0.5197567231866804 1.2857979962113123e-07 0.0008892448822814549 -0.0016900814363584853 0.16473733934581297 0.002020817631894505
-0.994235836181363 0.3238281744448884 -7.340252980680818 0.03347096865992222 -4.2312908600270763e-05 81.28597642784217 -7.463780658278038e-06 -0.46044904876348447 1.4458696507181643e-07 0.0007597311367606426 -0.0026771530788956225 0.16146924518886419 0.00200297407235171
-1.0221461471035493 0.3338744211148566 -7.443305935692744 0.03414514095381399 -4.4211428005302546e-05 81.09216695689591 -7.748368708074385e-06 -0.49705236989473733 1.5986102541730213e-07 0.0008441574479047353 -0.0015257328864901414 0.16932158316515666 0.002006641950732185
-0.9762285244959656 0.3184599086186861 -6.8015530557874 0.02786684534849783 -3.119537808977237e-05 81.1585047546361 -7.777315691599485e-06 -0.37672425656786623 8.929733919182032e-08 0.0008495730701528277 -0.003151498580341374 0.17302089981600963 0.0020723021402158995
-0.9584342015301109 0.3137512523926047 -6.629948498428422 0.027606438458126173 -3.298024180844197e-05 81.03475053076926 -7.803307355636396e-06 -0.46610386092772255 1.1718814521113318e-07 0.0008456105098213489 -0.001767007913939252 0.1714958893552332 0.0019057091678035118
-0.9695222526795881 0.3181408288689485 -6.525848534223085 0.028130025999753346 -3.531968565895639e-05 81.4952799320391 -7.686959545035397e-06 -0.4689556292193588 9.041690635038782e-08 0.0008385694728476828 -0.0025366603645897295 0.1724462794194711 0.0019262262045850736
-0.98292504193116 0.3173992531489538 -6.21582211666031 0.02547480164553001 -3.189594184080367e-05 81.18919865927819 -8.461521460954982e-06 -0.528082156884037 1.2270662965044853e-07 0.0009169388043073273 -0.0019092538075357766 0.13442992511149743 0.002235376438623076
-1.0324432504399321 0.33364088924803315 -6.301203172591013 0.02605136347023912 -3.355543165267298e-05 80.85080615858851 -8.515849140983818e-06 -0.5695936342119945 1.6654386538636087e-07 0.0009520716337072382 -0.0007427439795481832 0.17125505968865792 0.0019102183584814862
-0.9414183593673662 0.30555898691856415 -6.516794474985113 0.0276609629985423 -3.365727276526851e-05 81.2739994453199 -7.604354087046738e-06 -0.522019405930688 1.276782127227576e-07 0.0007785964852673842 -0.0014907366493831446 0.15360587766181083 0.0021151175330948145
