# gamma_opt, delta_opt, emax_opt, maxL
0.1502091910162315 0.07109893685191512 0.8002006117543545 -342188.19312243984
-0.014072254238606096 0.12879583623094787 0.8078579999248892 -341957.40622916096
-0.014440409049023745 0.12828964261569628 0.8110571255803425 -341953.8895769636
-0.015061685440482094 0.12683355442581 0.8131643964582836 -341952.7218782539
-0.016204155527999944 0.12528169801213992 0.8148572243605182 -341951.53139429755
-0.01691285416786166 0.12445597066913097 0.8167195386929593 -341950.63441075775
-0.018546817550516417 0.12344064110977698 0.8185186274227023 -341949.7045592625
-0.019123595667346158 0.12319771472534706 0.8205217007613838 -341948.9704395789
-0.019991586649443924 0.12186581819192446 0.8217081186455947 -341948.3342352862
-0.022266098153197612 0.12100784180122509 0.8228174099154872 -341947.6121655409
-0.13746314380941205 0.15525175515753592 0.823898459408005 -341944.7434561227
-0.1409901844162058 0.15502901808461006 0.8261717581191743 -341943.3160254443
-0.14535385062347794 0.15523216726003453 0.8282097354396558 -341942.3001557264
-0.14960997755700212 0.15507737545149847 0.8298091747957612 -341941.3097949227
-0.15374987506193835 0.15492273608631607 0.8317610439363091 -341940.34691154707
-0.15881698919391557 0.15500276418551737 0.8334503787897629 -341939.3152674148
-0.16613796647841375 0.15581353580376375 0.8351849152686253 -341938.4376862152
-0.20730101559356637 0.1673945937590628 0.8367240428916118 -341937.3272250212
-0.2117114730058055 0.16716438502540465 0.8384536888376298 -341936.4007599201
-0.21644719757034026 0.16744380323522867 0.8405542216708497 -341935.5710246318
-0.2249978384538885 0.1685022023321679 0.8417045785986745 -341934.6918053882
-0.2324322389932962 0.16988110255138478 0.8435263941670406 -341934.00575903204
-0.24045177994421724 0.1712336541469221 0.8450417349178134 -341933.3829619894
-0.24938556269401735 0.17275236459823656 0.8464742628029638 -341932.6522718385
-0.254518750517551 0.17346278322141612 0.8480723995541555 -341931.99546777457
-0.26270596998450046 0.1746043729876987 0.8492964699547687 -341931.4269831356
-0.26588728638607784 0.1749773643652533 0.8508960406021763 -341930.6784240736
-0.2722045008297997 0.175949134604017 0.8520641239779494 -341930.2030457979
-0.27822208963299144 0.17667543218243123 0.8533355617104446 -341929.6564908498
-0.2836526812822548 0.177355085957775 0.8544366941618469 -341929.1824696817
-0.2943940895400561 0.17938842378665892 0.8554369159059911 -341928.67302512954
-0.30096986061282155 0.18094340679635107 0.8568565823859555 -341928.2260452663
-0.3065723575653985 0.1816273855778539 0.8584150151381662 -341927.75871733925
-0.3109590380692353 0.18190428783456253 0.8595273966532431 -341927.21350123396
-0.31282149747954974 0.1812637329577186 0.8605741186212565 -341926.64975981705
-0.31820230840214175 0.18212223736008232 0.8620136691891156 -341926.2280395205
-0.3223660574162017 0.18284743044923704 0.8631502272808449 -341925.82587772
-0.3284702559690054 0.183802561804424 0.8641324575095293 -341925.5644420048
-0.3326859357035238 0.1843737332385601 0.8650228100156727 -341925.13210174994
-0.33720419417642344 0.18501151864631227 0.8660702513577025 -341924.8285725778
-0.3423960513942631 0.18547935313734754 0.8671260021368705 -341924.47955624224
-0.34820571604247824 0.18683618479884462 0.8688448628514291 -341924.0542810161
-0.3538937108315424 0.18740789033086258 0.8696178028218347 -341923.737830071
-0.3596410811078034 0.18829577861578956 0.8703934872177428 -341923.44393576856
-0.36440451399154494 0.18901735963232413 0.8714263556988591 -341923.07244866
-0.3690767595275234 0.18993736014852375 0.872554794001547 -341922.74342792155
-0.37475252868739517 0.19074541058842095 0.8732874418814333 -341922.4829487692
-0.3775006656635104 0.19117121367661194 0.8744337575894741 -341922.2577295212
-0.3805381413236808 0.19149575074661562 0.8750929852495686 -341921.9040648538
-0.3876807968768643 0.192883624725883 0.8759951304612622 -341921.710521895
-0.388076160869948 0.1921349121699072 0.8770865618450223 -341921.4710316899
-0.39277648668027465 0.19300950296838063 0.8780725724649809 -341921.18360118335
-0.3895373851613748 0.19149375466250343 0.8788968318490991 -341920.96112533385
-0.39335033506998596 0.19220424271594555 0.8796326627986298 -341920.73075994395
-0.3958158435428134 0.1923203978308374 0.8803622578433616 -341920.5533255386
-0.40158791467208643 0.19333085413627385 0.881151194175427 -341920.351701873
-0.4068289991695393 0.1943166237039362 0.8818591036213379 -341920.06766980566
-0.4046985810317434 0.19347232973850254 0.8830357645709392 -341919.88644526794
-0.4099767340170697 0.194385979391952 0.8835334018643091 -341919.7266296136
-0.41187642761835586 0.19457278207989565 0.8844067140450842 -341919.5744980525
-0.4131264187921169 0.19443648723277843 0.8846119263828742 -341919.4779942446
-0.4179668808038477 0.19555581838084546 0.8850962826926388 -341919.3712464781
-0.42062280443821226 0.1958004604386413 0.8858386604016002 -341919.20977631735
-0.42181375519621006 0.19578739027433734 0.8866088244538066 -341919.0508453695
-0.4222043924064097 0.19554499192296265 0.8870423530634479 -341918.89365846926
-0.42149885389848624 0.19501770079263925 0.8876254553643252 -341918.8041218333
-0.42494218961133223 0.19546303581987667 0.8880647058464817 -341918.6873106992
-0.4286207605081457 0.19604536525017974 0.8888056995839413 -341918.5411625327
-0.4337424813083716 0.19717557157408167 0.8896581285920995 -341918.3632123291
-0.43393267861541385 0.19676461777719828 0.8902178587807095 -341918.218291053
-0.4375913302000295 0.19747049116054177 0.8910199101375305 -341918.0641105898
-0.440037577799795 0.19775993304738268 0.8916187834873988 -341917.96173558553
-0.4400269853560388 0.19767280646164243 0.8923443951992647 -341917.8630268305
-0.4428736550845466 0.19798300440516398 0.8927387334589536 -341917.75847595616
-0.44475638422787905 0.19817927994542406 0.8936099170070965 -341917.6036699959
-0.4447635090720688 0.19757725101650492 0.8940342826598024 -341917.4760382457
-0.44662618150569433 0.19760412524297158 0.8944239682707572 -341917.3794802929
-0.44776634879672006 0.1976892424250427 0.8951066401232617 -341917.2751424817
-0.4505558409522001 0.19805783612058386 0.8956422798194348 -341917.1764288416
-0.45429530030955656 0.19855070808559153 0.8962758545405404 -341917.05997695075
-0.4522139175938803 0.19758315706482382 0.8969253925894247 -341916.90674865874
-0.4553538122168793 0.19819925129254023 0.8974227035051852 -341916.8148144665
-0.4591260441312299 0.19895099815499834 0.8983781749165076 -341916.67726041185
-0.4613810928370788 0.199245825256246 0.8987045330925931 -341916.57668476534
-0.46229659887698304 0.19901941807913198 0.898942624961176 -341916.5023101217
-0.46576440800857927 0.19979228219708348 0.8994488095044721 -341916.45260169613
-0.46511745261051674 0.19954656647993896 0.9001300098590415 -341916.3865855261
-0.4674605645095543 0.19991115488830097 0.9006466082349505 -341916.32963740826
-0.4687374785465572 0.1997902842266524 0.900872264447149 -341916.2537192597
