# z_mid, z_binned_prob, zm_detections
4.715904686599969864e-02 1.129565582947889890e+00 4.000000000000000000e+00
9.056193288415670395e-02 8.369791889779469862e-01 1.000000000000000000e+01
1.339648189023137093e-01 4.838074126764393412e-01 1.200000000000000000e+01
1.773677049204707146e-01 2.894858509187444584e-01 1.200000000000000000e+01
2.207705909386277199e-01 8.159666148868505164e-02 5.000000000000000000e+00
2.641734769567847252e-01 9.558125945403209145e-02 8.000000000000000000e+00
3.075763629749417305e-01 7.394681056771056082e-02 8.000000000000000000e+00
3.509792489930987358e-01 5.213888867978627023e-02 7.000000000000000000e+00
3.943821350112557411e-01 1.238557823602602984e-02 2.000000000000000000e+00
4.377850210294127464e-01 5.277997553901566524e-03 1.000000000000000000e+00
4.811879070475697517e-01 4.589617053849033568e-03 1.000000000000000000e+00
5.245907930657267570e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.679936790838837624e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.113965651020407677e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.547994511201977730e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.982023371383547783e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.416052231565117836e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.850081091746687889e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.284109951928257942e-01 0.000000000000000000e+00 0.000000000000000000e+00
