# z_mid, z_binned_prob, zm_detections
2.376466989517211914e-02 6.638820803270449877e-01 1.000000000000000000e+00
3.545701503753662109e-02 1.219756485262605272e+00 4.000000000000000000e+00
4.714936017990112305e-02 7.002898527561572939e-01 4.000000000000000000e+00
5.884170532226562500e-02 3.416557393920771069e-01 3.000000000000000000e+00
7.053405046463012695e-02 8.023859315894979471e-02 1.000000000000000000e+00
8.222639560699462891e-02 5.975439420465249868e-02 1.000000000000000000e+00
9.391874074935913086e-02 9.269979941448511229e-02 2.000000000000000000e+00
1.056110858917236328e-01 7.418417108761433953e-02 2.000000000000000000e+00
1.173034310340881348e-01 6.085004560930455664e-02 2.000000000000000000e+00
1.289957761764526367e-01 5.092132035994135358e-02 2.000000000000000000e+00
1.406881213188171387e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.523804664611816406e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.640728116035461426e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.757651567459106445e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.874575018882751465e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.991498470306396484e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.108421921730041504e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.225345373153686523e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.342268824577331543e-01 0.000000000000000000e+00 0.000000000000000000e+00
