# z_mid, z_binned_prob, zm_detections
4.176388362324551240e-02 3.267367652504731268e+00 1.000000000000000000e+00
7.337062967647063616e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.049773757296957599e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.365841217829208698e-01 1.396358033172156343e+00 4.000000000000000000e+00
1.681908678361459797e-01 2.380964264809780073e-01 1.000000000000000000e+00
1.997976138893711173e-01 5.234744248595103455e-01 3.000000000000000000e+00
2.314043599425962272e-01 1.345558787740016859e-01 1.000000000000000000e+00
2.630111059958213371e-01 2.155509167949602456e-01 2.000000000000000000e+00
2.946178520490464470e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.262245981022715569e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.578313441554966667e-01 6.462472163822775839e-02 1.000000000000000000e+00
3.894380902087217766e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.210448362619469420e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.526515823151720519e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.842583283683971618e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.158650744216222161e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.474718204748474371e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.790785665280724359e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.106853125812976568e-01 0.000000000000000000e+00 0.000000000000000000e+00
