# z_mid, z_binned_prob, zm_detections
7.257491193319622058e-02 9.410555484382152613e-01 5.400000000000000000e+01
1.712217879922766639e-01 7.575742296662041353e-01 1.970000000000000000e+02
2.698686640513571211e-01 6.441333139132590091e-01 3.700000000000000000e+02
3.685155401104375228e-01 5.262371234907460282e-01 5.040000000000000000e+02
4.671624161695179245e-01 4.056369663234352108e-01 5.580000000000000000e+02
5.658092922285984372e-01 2.513885515373879276e-01 4.530000000000000000e+02
6.644561682876788389e-01 1.758071998589555152e-01 3.900000000000000000e+02
7.631030443467592406e-01 1.198161863201582661e-01 3.130000000000000000e+02
8.617499204058396423e-01 8.163956978157398126e-02 2.430000000000000000e+02
9.603967964649200439e-01 4.989511610284635967e-02 1.650000000000000000e+02
1.059043672524000446e+00 2.137521737494208970e-02 7.700000000000000000e+01
1.157690548583080847e+00 1.190795866215916925e-02 4.600000000000000000e+01
1.256337424642161471e+00 6.111895922905244416e-03 2.500000000000000000e+01
1.354984300701241873e+00 3.732490177798144897e-03 1.600000000000000000e+01
1.453631176760322274e+00 1.122508039467672762e-03 5.000000000000000000e+00
1.552278052819402676e+00 4.351756564995249289e-04 2.000000000000000000e+00
1.650924928878483078e+00 2.121410708781858352e-04 1.000000000000000000e+00
1.749571804937563479e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.848218680996643881e+00 2.045446443291927009e-04 1.000000000000000000e+00
