   120.168      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
   131.232    151.250      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
   154.681    174.335    197.238      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
   176.591    204.437    215.649    246.136      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
   175.222    213.441    233.936    274.030    313.119      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
   175.276    247.212    257.694    309.352    356.360    403.994      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
   217.167    260.681    255.656    337.277    410.817    461.264    548.854      0.000      0.000      0.000      0.000      0.000      0.000      0.000
   229.437    270.842    301.288    364.916    428.632    532.250    633.705    756.681      0.000      0.000      0.000      0.000      0.000      0.000
   135.427    199.875    356.857    387.957    465.135    582.260    735.398    866.348   1045.701      0.000      0.000      0.000      0.000      0.000
   141.477    301.890    359.309    329.093    514.750    643.110    774.279    963.796   1180.635   1413.140      0.000      0.000      0.000      0.000
     0.000    377.292    179.233    424.404    516.561    615.206    809.901   1027.218   1342.930   1570.545   1839.562      0.000      0.000      0.000
     0.000      0.000      0.000    246.937    424.999    688.784    863.301   1218.643   1365.152   1721.619   2037.839   2221.564      0.000      0.000
     0.000      0.000      0.000      0.000    590.009    540.701    798.045   1006.364   1490.376   1741.496   2031.950   2248.640   2288.020      0.000
     0.000      0.000      0.000      0.000      0.000    499.935    662.874   1042.966   1264.872   1709.800   1950.638   2143.425   2204.359   2094.610
