# z_mid, z_binned_prob, zm_detections
1.692216402213824605e-02 8.141446425617846483e-01 1.800000000000000000e+01
2.994406389954842873e-02 5.592968935444274647e-01 3.700000000000000000e+01
4.296596377695861835e-02 4.646109924081719411e-01 6.200000000000000000e+01
5.598786365436880103e-02 4.213600131409412364e-01 9.400000000000000000e+01
6.900976353177898370e-02 2.393883680346613474e-01 8.000000000000000000e+01
8.203166340918917332e-02 1.502623515771196183e-01 7.000000000000000000e+01
9.505356328659936294e-02 1.004519390976201659e-01 6.200000000000000000e+01
1.080754631640095387e-01 6.731066327233529989e-02 5.300000000000000000e+01
1.210973630414197283e-01 3.895255817278171773e-02 3.800000000000000000e+01
1.341192629188299179e-01 2.201865650321990775e-02 2.600000000000000000e+01
1.471411627962401214e-01 1.212224946659514260e-02 1.700000000000000000e+01
1.601630626736502694e-01 7.929644370606687281e-03 1.300000000000000000e+01
1.731849625510604729e-01 2.643930101227986128e-03 5.000000000000000000e+00
1.862068624284706764e-01 1.854673138786592287e-03 4.000000000000000000e+00
1.992287623058808521e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.122506621832910279e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.252725620607012313e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.382944619381114071e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.513163618155215828e-01 0.000000000000000000e+00 0.000000000000000000e+00
