# z_mid, z_binned_prob, zm_detections
2.103497347745456048e-02 5.045043534918153272e-01 4.000000000000000000e+00
3.144385327437990846e-02 5.766657177856528982e-01 1.000000000000000000e+01
4.185273307130525644e-02 4.290695979737647048e-01 1.300000000000000000e+01
5.226161286823059748e-02 2.998723249495873766e-01 1.400000000000000000e+01
6.267049266515593853e-02 2.259052564423005283e-01 1.500000000000000000e+01
7.307937246208129345e-02 5.597503434491960667e-02 5.000000000000000000e+00
8.348825225900663449e-02 1.213597950789109675e-01 1.400000000000000000e+01
9.389713205593197554e-02 7.618204094378004665e-02 1.100000000000000000e+01
1.043060118528573166e-01 5.104447456253990989e-02 9.000000000000000000e+00
1.147148916497826576e-01 4.264802370257012032e-02 9.000000000000000000e+00
1.251237714467079987e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.355326512436333675e-01 2.080403119287288841e-02 6.000000000000000000e+00
1.459415310405587085e-01 3.022391260268160896e-03 1.000000000000000000e+00
1.563504108374840496e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.667592906344093906e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.771681704313347316e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.875770502282600727e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.979859300251854137e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.083948098221107548e-01 0.000000000000000000e+00 0.000000000000000000e+00
