# z_mid, z_binned_prob, zm_detections
6.309481773917612057e-02 7.940976741157165231e-01 4.300000000000000000e+01
1.562570985896806763e-01 6.835494394418429875e-01 1.820000000000000000e+02
2.494193794401852460e-01 5.079730589395283769e-01 3.080000000000000000e+02
3.425816602906898156e-01 3.438865356282212460e-01 3.540000000000000000e+02
4.357439411411944130e-01 1.968727126077386425e-01 2.950000000000000000e+02
5.289062219916988994e-01 1.224490272902194893e-01 2.430000000000000000e+02
6.220685028422034968e-01 7.541746532543620873e-02 1.860000000000000000e+02
7.152307836927080942e-01 4.199579001359544927e-02 1.230000000000000000e+02
8.083930645432126916e-01 2.230413349475274601e-02 7.500000000000000000e+01
9.015553453937172890e-01 1.382306319580979374e-02 5.200000000000000000e+01
9.947176262442218864e-01 7.274796490877518361e-03 3.000000000000000000e+01
1.087879907094726484e+00 3.821957942137765765e-03 1.700000000000000000e+01
1.181042187945230859e+00 1.900700374801651263e-03 9.000000000000000000e+00
1.274204468795735457e+00 1.403682304604144272e-03 7.000000000000000000e+00
1.367366749646240054e+00 3.842020002856723023e-04 2.000000000000000000e+00
1.460529030496744651e+00 3.707987540043749782e-04 2.000000000000000000e+00
1.553691311347249249e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.646853592197753846e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.740015873048258443e+00 0.000000000000000000e+00 0.000000000000000000e+00
