# z_mid, z_binned_prob, zm_detections
5.348430284740109120e-02 7.806882827041016215e-01 4.000000000000000000e+01
1.366013313496583503e-01 6.902371204747520528e-01 1.840000000000000000e+02
2.197183598519155956e-01 4.527507757803628796e-01 2.820000000000000000e+02
3.028353883541728409e-01 2.830910048880857510e-01 3.050000000000000000e+02
3.859524168564300584e-01 1.769504958380182513e-01 2.820000000000000000e+02
4.690694453586873314e-01 1.069166125880726959e-01 2.290000000000000000e+02
5.521864738609445489e-01 5.113714505882708400e-02 1.380000000000000000e+02
6.353035023632018774e-01 2.741421819189723830e-02 8.900000000000000000e+01
7.184205308654589839e-01 1.537251888638250207e-02 5.800000000000000000e+01
8.015375593677163124e-01 9.368441848915123882e-03 4.000000000000000000e+01
8.846545878699735299e-01 3.593041404401648830e-03 1.700000000000000000e+01
9.677716163722308584e-01 1.357805932770648170e-03 7.000000000000000000e+00
1.050888644874488076e+00 5.414427064090517484e-04 3.000000000000000000e+00
1.134005673376745182e+00 5.095229298674642691e-04 3.000000000000000000e+00
1.217122701879002511e+00 1.613437501668721331e-04 1.000000000000000000e+00
1.300239730381259839e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.383356758883516946e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.466473787385774274e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.549590815888031603e+00 0.000000000000000000e+00 0.000000000000000000e+00
