# z_mid, z_binned_prob, zm_detections
7.308624601481776561e-02 7.619942689354177734e-01 4.600000000000000000e+01
1.716622126435762841e-01 7.693878799944483537e-01 2.090000000000000000e+02
2.702381792723348441e-01 6.146544124348685134e-01 3.680000000000000000e+02
3.688141459010933487e-01 5.023940220483091856e-01 5.010000000000000000e+02
4.673901125298519088e-01 3.737303740391998419e-01 5.350000000000000000e+02
5.659660791586104134e-01 2.704606508950121446e-01 5.070000000000000000e+02
6.645420457873689735e-01 1.699025335541962112e-01 3.920000000000000000e+02
7.631180124161274225e-01 1.063825601984556835e-01 2.890000000000000000e+02
8.616939790448860936e-01 6.041932114496100653e-02 1.870000000000000000e+02
9.602699456736445427e-01 3.809862395930401630e-02 1.310000000000000000e+02
1.058845912302403214e+00 1.762146430122430926e-02 6.600000000000000000e+01
1.157421878931161441e+00 1.195106154369855386e-02 4.800000000000000000e+01
1.255997845559920112e+00 3.997360500918904595e-03 1.700000000000000000e+01
1.354573812188678783e+00 2.692450062215925432e-03 1.200000000000000000e+01
1.453149778817437232e+00 8.637021394990026732e-04 4.000000000000000000e+00
1.551725745446195681e+00 4.185470153153163599e-04 2.000000000000000000e+00
1.650301712074954352e+00 4.080640277270518573e-04 2.000000000000000000e+00
1.748877678703712801e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.847453645332471250e+00 1.967194321107336810e-04 1.000000000000000000e+00
