1147.97162 1147.18690 1139.69752 1127.30073 1111.15585 1092.05441 1070.56097 1047.09244 1021.96535  995.42581  967.66886
1149.42255 1153.08292 1150.03862 1142.08692 1130.38712 1115.73076 1098.68241 1079.65897 1058.97696 1036.88251 1013.57064
1147.14512 1154.60985 1155.36990 1151.22254 1143.32710 1132.47509 1119.23109 1104.01200 1087.13434 1068.84424 1049.33672
1141.67704 1152.40182 1156.42193 1155.53462 1150.89923 1143.30728 1133.32333 1121.36429 1107.74669 1092.71664 1076.46917
1133.48062 1147.00352 1153.82175 1155.73258 1153.89531 1149.10148 1141.91566 1132.75475 1121.93527 1109.70335 1096.25401
1122.95157 1138.88075 1148.10525 1152.42234 1152.99134 1150.60379 1145.82424 1139.06960 1130.65639 1120.83073 1109.78767
1110.42725 1128.43021 1139.72849 1146.11937 1148.76216 1148.44838 1145.74262 1141.06176 1134.72234 1126.97047 1118.00119
1096.19477 1115.98924 1129.07904 1137.26143 1141.69573 1143.17347 1142.25922 1139.36987 1134.82196 1128.86160 1121.68383
1080.49786 1101.84393 1116.48532 1126.21931 1132.20521 1135.23455 1135.87190 1134.53415 1131.53784 1127.12908 1121.50291
1063.54358 1086.23710 1102.22595 1113.30739 1120.64074 1125.01753 1127.00233 1127.01204 1125.36318 1122.30187 1118.02315
1045.50751 1069.37445 1086.53673 1098.79160 1107.29837 1112.84859 1116.00681 1117.18995 1116.71451 1114.82663 1111.72134
