# ['gamma', 'delta', 'b_0', 'b_1', 'muM', 'sigmaM'], ['D0', 'B', 'C', 'mu', 'sigma', 'a_01', 'a_11', 'a_21', 'c_01', 'c_11', 'd_11', 'L']
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
-1.3608052535185426 0.3758202596971003 0.1842168378948087 0.9999999999981913 3124.4620345286803 1.5983665391564599 85.5707664255622 0.0030730554862765 0.7550310725091771 216.8312372008909 0.8877195418490806 -0.6248513275351588 -0.002934494602681026 3.4548963713342554e-07 -0.022026454004460846 0.0014176106418493596 0.05413273363856666 -0.07566880818225097
-1.3465855508191709 0.3724070670213583 0.18122356154186053 0.9999999990899848 3601.5597647152076 1.686421520781554 81.90922677808831 0.003181115627826358 0.7582532357766911 215.70547201392185 0.8699958466408981 -0.6136762755525282 -0.003092246041901092 6.004839190667115e-07 -0.08084283352250315 0.0012016231762653584 0.07504820212259854 -0.09468093208244752
-1.3821156920584334 0.3826974466619312 0.19399047619544366 0.9999999999963889 2831.567775843475 1.509440520156862 84.89312665826996 0.0029189644564586864 0.7284728285180899 216.40233787810968 0.9246259616334158 -0.5651524448062892 -0.0033994898780194526 1.0787933894834667e-06 -0.14764068437425365 0.0012132429097384892 0.08764273645032283 -0.07637131898781566
-1.3497589133780055 0.37462861278704285 0.18569498778365118 0.9999999998851499 3276.6321463761456 1.6140066450036015 81.87368331516801 0.003151951645193223 0.7318644094961266 219.51536458197901 0.8735806125798156 -0.670195726433232 -0.002850994251355477 7.705589151195087e-07 -0.07829598183055672 0.0011980770924382655 0.07112839357930449 -0.09852005674788418
-1.3954483136111957 0.3886409122761515 0.18463040435130906 0.9999999990930026 3413.3957197137397 1.638512416862158 85.81060442977166 0.003155202800123388 0.745364287507924 215.23011713804453 0.8814435175582196 -0.5693271770382846 -0.003534408056573151 6.286532054425498e-07 -0.1366905917693014 0.0011317406867566702 0.08707902402408135 -0.07897359418479985
-1.3525387476257773 0.37320552190357636 0.1908818760499188 0.9999999990203015 3095.0620756886583 1.568387534010685 83.4458865737206 0.0031328017754653284 0.7327573388641739 220.8960845910037 0.8796709083247168 -0.5735345850145701 -0.003382569432973297 1.0174679672401291e-06 -0.11119863005088174 0.001182240371191403 0.08267849758963891 -0.08968762235342159
-1.3709633127049985 0.38171923008439074 0.17978654228948285 0.9999999999978013 3440.254422446942 1.658400099433409 80.68333485074561 0.003299425340373017 0.7606675936127232 223.40469815732888 0.8378911079683792 -0.5319193930720885 -0.003951797910434453 1.9015630394080077e-06 -0.1536963544846686 0.0012000639152982685 0.09193250834807967 -0.10544492832607227
-1.3788856248710235 0.38225920357291776 0.1876210738555682 0.9999999999950646 3125.3436491121843 1.5842269149248775 83.66294386110448 0.0031967680808710755 0.7513976149320672 217.67312081371458 0.86665944835609 -0.5289689554175234 -0.0039903398077691735 2.0126389946383594e-06 -0.148105153539015 0.001224816647578307 0.0871540158091833 -0.08913435572688012
-1.3321533466587903 0.36582805637916926 0.17536944589022524 0.9999999999943939 3976.4227959464833 1.7620197159851343 81.45025889027728 0.0033477986803170596 0.7905270956597081 212.2278826379475 0.8426622568958411 -0.5458747732695761 -0.003773111401958124 2.1168524807033232e-06 -0.07000531713216702 0.0012087427162841974 0.0727510859139757 -0.09636948124553563
-1.3784962879251685 0.38209134681772394 0.194488974456422 0.9999999997499296 3095.4246811795383 1.5584030496222105 83.43385267746339 0.003116504551933753 0.7360304999785843 217.83480059510362 0.8844393489917186 -0.5515235405241492 -0.0035579025591692412 1.23273519979986e-06 -0.00905404979943443 0.0013326955537894527 0.05546759523989683 -0.08913996477462308
-1.3264015672469118 0.36445505803692774 0.17625334807495346 0.9999999999994871 4168.984689011173 1.79368159223737 80.4412855419848 0.003351064281987566 0.7864785235893041 211.69976672748334 0.8421096343561737 -0.5811454185872073 -0.0031924573287098195 3.973615845780544e-08 -0.16148123321569757 0.0010990403047668649 0.09604817843943222 -0.10192562850392557
-1.3860774481701612 0.3852729540713224 0.19450624589784943 0.999999999897334 3024.3005617945187 1.5430243970910973 85.02050195299054 0.0030327416287599346 0.730246616018571 212.88223644656924 0.9046605276951447 -0.5748024981937958 -0.0036335181750859463 1.6647995758847473e-06 -0.07436928704777684 0.0011436696682251735 0.07288843271155712 -0.07985602286869303
-1.404175556747692 0.3904916939879923 0.18629094692855586 0.9999999999585376 3245.7446767295496 1.6007959091835686 84.95042174698251 0.003075502129537821 0.7269915137063929 219.89238527274205 0.8852412869183719 -0.60406195062755 -0.0029753318239927147 -9.72713257560924e-07 -0.07812490858027765 0.0011469433984383779 0.07523002242718879 -0.08223775037047838
-1.3876171887827322 0.38507855352855197 0.18915759317049438 0.9999999999565472 3285.443944036828 1.603142064428992 84.08462667104493 0.003069779069005707 0.7406530525908359 211.99609544066158 0.8924731867634128 -0.48626189823131183 -0.004358450218254595 2.3446747115247187e-06 -0.05112956992337997 0.0012589346281699316 0.06757469741045743 -0.08174030503390903
-1.3424151781246603 0.37136566844921115 0.19200120239866997 0.9999999999705269 3005.6287161719074 1.5443718617570656 84.39242038338642 0.002956451631191245 0.7025715952685985 218.584955326917 0.9099824688188027 -0.5600264678959755 -0.003859941275665705 2.214600689746766e-06 -0.0632008847803244 0.0012675583806480693 0.06978769338830454 -0.08363368862251655
-1.3500880147513348 0.3737240824307402 0.18520189002239712 0.9999999275312101 3310.2433994039384 1.6201954849483855 83.24033511102539 0.0031956659515045708 0.7697496760109039 216.53708980996527 0.867024099689562 -0.5776114035738495 -0.00336263597130506 1.2034721900290872e-06 -0.04978311699836148 0.0011071372093276212 0.06886261412613273 -0.08736725901995157
-1.3406586062482517 0.3681224384919769 0.18579403940910463 0.9999999999991215 3288.6401303579155 1.6210070365140414 81.13263949069798 0.003207325219499852 0.751463248890327 223.18458369153393 0.8582260342882968 -0.597809740240405 -0.0035405223109724387 1.1297815275946465e-06 -0.05819842300786999 0.0013284707307244915 0.06744366911278506 -0.1024221561991831
-1.3587804560460026 0.3752315708599463 0.1932233639025003 0.9999999873023624 3155.765842597421 1.5714175563707058 82.3844942891852 0.0031694438489489087 0.7285196967512276 218.00123632266624 0.8695815997301211 -0.5384482663050442 -0.003553701461063299 1.1161881121480587e-06 -0.009104212080268171 0.0014568515093331502 0.05148720009892109 -0.09592934929183321
-1.3271346231408945 0.36922317796060655 0.1847897699384784 0.999999999994911 3091.2997044432605 1.5932341155173588 84.97536938018129 0.0030411786370325264 0.7403972733553245 222.8690809158565 0.8889006838308426 -0.5934869197625847 -0.0029204768897700766 -7.287977078923101e-07 -0.0802456957322161 0.00122213411923933 0.07446733720366455 -0.08195091668241411
-1.355210668661176 0.3758663547325911 0.18833319912933633 1.0 3305.9795090552825 1.6204155175647204 81.40488521719575 0.003196487912981353 0.7533798967339131 219.53134757075318 0.8621325261834021 -0.5502724064115716 -0.0036710851492808352 7.67239109938263e-07 -0.07661838104817859 0.001309416819669145 0.07124837400612632 -0.09975689735294127
-1.3809192548224969 0.38769628269038864 0.1751879828957575 0.9999999939951687 3923.547667084547 1.7515936705797994 81.23616277142658 0.0032888942415798495 0.7698341816156291 217.77756608274854 0.8433434932514103 -0.5039397583109779 -0.004023615148185741 9.969705966681764e-07 -0.09943860476874297 0.0012296153542513985 0.07732421545367182 -0.1014771509263808
-1.3406251963080642 0.37197320716470716 0.18255942022235772 0.9999999998863233 3439.855288472295 1.6563844234613982 79.81301767603935 0.0032726052286161473 0.7637319177504569 221.98739568231366 0.8468440076924331 -0.6214500264051446 -0.0032101902953904134 6.750526191582011e-07 -0.06116112469163586 0.001297451863365082 0.06775554671813563 -0.10813180383931092
-1.3036550908541167 0.36001830153810627 0.18698928401747433 0.9999999999838491 3274.054189022742 1.6170591348981451 82.46015013272383 0.00317223959652772 0.7439953459197557 218.25862221584057 0.8683399216783925 -0.5900989269155111 -0.0032047024388632715 1.0776328784170181e-06 -0.10895145533202696 0.0011125808891537226 0.08589650876097937 -0.09417531387536421
-1.3711419029733642 0.3826565421191465 0.1924192786469583 0.9999999999703378 3255.0887860096827 1.595759083172331 82.45581996291682 0.0032180560068803534 0.752504779970771 212.72237970207317 0.8672897827362476 -0.568197898624484 -0.004085882554868154 3.0078448312010813e-06 -0.056456016055438235 0.0012028342638663006 0.06741446926952585 -0.094673314804114
-1.3726327331596426 0.3727923322430665 0.18534852102080426 0.9999999987506303 3307.8979640566586 1.6132048050113292 84.88182986283203 0.0031670056319443828 0.762822862746874 212.73092913545327 0.8826284194456449 -0.5470766146052188 -0.003833136069829434 1.2114421379458968e-06 -0.12052709032579279 0.0011952146306705952 0.08141281942570122 -0.0768443253712435
-1.368855681690135 0.37727960755765794 0.19051902224345596 0.99999999988815 2855.168027461575 1.5235064766531496 82.74189434808925 0.0030438969936048875 0.7217234645705819 225.13656157252004 0.8824698616721589 -0.5856921900301677 -0.003573602237399821 1.6435191100476665e-06 -0.02957456920361443 0.0013618355080861732 0.060919237766777365 -0.09283722326867803
-1.3831358779506884 0.3832464056399326 0.18176863078996042 0.9999999998617257 3527.634373820514 1.6637078840682715 81.59253916282336 0.003280263855885754 0.7622626844268545 220.18806882720048 0.843869919944219 -0.54707944141716 -0.003943194449457291 1.6300638043680194e-06 -0.11053236091087064 0.0011329922286008485 0.08484059803666144 -0.09902369479583266
-1.3497342052101147 0.3705038506113617 0.18212670230874572 0.999999999992785 3651.2239891347417 1.687470970170647 82.15517678073928 0.003236511718040045 0.7460625429331076 215.94796768758295 0.8578184099428141 -0.6547611440551846 -0.0031801922545201264 1.0482561872078422e-06 -0.15826080656255442 0.001093093456264634 0.09516288834812914 -0.09701558820757064
-1.3659578803921892 0.3767762664106548 0.18463918270942944 0.999999999977056 3349.001904433051 1.6322808931344692 82.3752043178032 0.0030568792978602297 0.7430644304038305 217.94019115854599 0.8898463285930209 -0.5465911712687588 -0.0041142695202850965 2.4860683402031546e-06 -0.14611666827501732 0.0010191262626796484 0.09359309350134339 -0.08979316762165908
-1.3382452563267584 0.36766058258933787 0.1854586810111647 1.0 3220.5457328896564 1.6077513535179406 84.43564199202916 0.003150349416403622 0.7475841253793778 213.17838622196695 0.8837476549556227 -0.5987611633636996 -0.0033300724592129982 2.0382684758982544e-06 -0.10667236116663481 0.0011962206436672215 0.08078915436151118 -0.0822952391338945
-1.3371394483338723 0.3687144301896335 0.18661736893232872 0.9999999999999191 3285.335015895085 1.6118260777888338 85.49339851001173 0.003059555251111683 0.7595371437147822 213.744442456606 0.8982864684541496 -0.49934169571424825 -0.004016949055786662 1.4507930874749985e-06 -0.10814605483438519 0.0011692796205653604 0.08015620817436192 -0.07262507690056985
-1.3876389738596466 0.3855975664689979 0.18237837230632786 0.9999999999764737 3148.8245998314783 1.5977657931888984 81.32422679147962 0.0031911119472755505 0.7317288892044356 223.00843155550265 0.8626205008786677 -0.5746634678167436 -0.0033515516754040716 1.4967361244752786e-06 -0.0633228712706289 0.0014144914207591336 0.06241238355131267 -0.1011302102727024
