     0.013      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
     0.016      0.019      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
     0.019      0.023      0.026      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
     0.021      0.026      0.032      0.038      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
     0.023      0.031      0.036      0.043      0.052      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
     0.026      0.032      0.041      0.049      0.061      0.070      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
     0.033      0.035      0.045      0.057      0.069      0.083      0.102      0.000      0.000      0.000      0.000      0.000      0.000      0.000
     0.001      0.039      0.043      0.058      0.074      0.095      0.116      0.143      0.000      0.000      0.000      0.000      0.000      0.000
     0.058      0.036      0.055      0.066      0.085      0.107      0.133      0.166      0.199      0.000      0.000      0.000      0.000      0.000
     0.078      0.051      0.056      0.073      0.086      0.121      0.146      0.190      0.231      0.277      0.000      0.000      0.000      0.000
     0.000      0.000      0.077      0.000      0.089      0.117      0.163      0.207      0.260      0.316      0.367      0.000      0.000      0.000
     0.000      0.000      0.000      0.076      0.084      0.122      0.168      0.209      0.276      0.336      0.412      0.462      0.000      0.000
     0.000      0.000      0.000      0.000      0.144      0.128      0.158      0.195      0.274      0.352      0.418      0.477      0.505      0.000
     0.000      0.000      0.000      0.000      0.000      0.118      0.133      0.209      0.229      0.335      0.405      0.474      0.488      0.483
