     0.223      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
     0.553      0.522      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
     0.336      0.302      0.198      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
     0.666      0.617      0.295      0.538      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
     0.860      0.932      0.491      0.617      0.828      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
     2.130      1.355      0.456      0.672      0.694      0.687      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
     0.767      0.635      0.429      0.528      0.593      0.532      0.513      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
     0.148      0.542      0.569      0.455      0.565      0.534      0.460      0.492      0.000      0.000      0.000      0.000      0.000      0.000      0.000
     1.112      1.520      0.803      0.299      0.541      0.434      0.368      0.374      0.403      0.000      0.000      0.000      0.000      0.000      0.000
     0.000      0.000      0.000      0.044      0.481      0.309      0.298      0.312      0.316      0.391      0.000      0.000      0.000      0.000      0.000
     0.000      0.000      0.000      0.000      0.258      0.371      0.313      0.335      0.339      0.363      0.430      0.000      0.000      0.000      0.000
     0.000      0.000      0.000      0.000      0.000      0.000      0.268      0.253      0.252      0.396      0.455      0.443      0.000      0.000      0.000
     0.000      0.000      0.000      0.000      0.000      0.262      3.820      1.399      0.253      0.415      0.542      0.471      0.545      0.000      0.000
     0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.059      0.396      0.277      0.134      0.704      0.534      0.575      0.000
     0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      1.517      1.112      0.713      1.124      0.311      0.409      0.000
