     0.122      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
     0.651      1.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
     1.000      1.000      1.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
     0.657      0.833      0.728      0.723      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
     0.318      0.433      0.425      0.452      0.378      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
     1.000      0.858      0.544      0.680      0.561      0.594      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
     0.812      0.797      1.000      1.000      1.000      1.000      1.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
     0.279      1.000      1.000      1.000      1.000      1.000      1.000      1.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
     1.000      1.000      1.000      1.000      1.000      1.000      1.000      1.000      1.000      0.000      0.000      0.000      0.000      0.000      0.000
     0.000      0.000      0.000      0.328      1.000      1.000      1.000      1.000      1.000      1.000      0.000      0.000      0.000      0.000      0.000
     0.000      0.000      0.000      0.000      0.625      0.823      0.759      0.801      0.838      0.892      0.813      0.000      0.000      0.000      0.000
     0.000      0.000      0.000      0.000      0.000      0.000      0.278      0.269      0.290      0.440      0.504      0.389      0.000      0.000      0.000
     0.000      0.000      0.000      0.000      0.000      0.467      1.000      1.000      0.360      0.522      0.694      0.560      0.677      0.000      0.000
     0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.168      1.000      0.697      0.323      1.000      1.000      1.000      0.000
     0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      1.000      1.000      1.000      1.000      1.000      1.000      0.000
