  -330.160      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
    -7.907    102.669      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
  -635.059    115.521   -615.732      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
  -485.493   -819.572   -790.393   -830.363      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
  -176.727   -463.074   -739.339  -1252.788  -1493.170      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
   -80.993   -205.939   -406.082  -1183.525  -1243.447   -767.196      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
   -44.987   -104.066   -251.630   -833.352  -2586.887   3119.094   8842.328      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
   -14.747    -36.977   -124.546   -510.010  -2359.297  -3467.549  33541.593  62705.663      0.000      0.000      0.000      0.000      0.000      0.000      0.000
    -7.285    -18.673    -54.800   -229.975  -1375.078  -4526.659  -2226.846  97351.781  97882.798      0.000      0.000      0.000      0.000      0.000      0.000
     0.000      0.000      0.000    -35.581   -270.704  -1289.900  -4542.927  -8538.723  16179.425   3201.021      0.000      0.000      0.000      0.000      0.000
     0.000      0.000      0.000      0.000    -22.206   -143.523   -577.450  -2515.338  -6223.833  -8815.341  -7524.642      0.000      0.000      0.000      0.000
     0.000      0.000      0.000      0.000      0.000      0.000    -38.808   -234.369   -746.203  -1901.171  -3387.303  -1957.074      0.000      0.000      0.000
     0.000      0.000      0.000      0.000      0.000     -8.921    -14.483    -21.490   -109.923   -265.784   -685.999  -1016.306   -514.455      0.000      0.000
     0.000      0.000      0.000      0.000      0.000      0.000      0.000     -9.231     -8.175    -41.506    -91.743   -242.100   -189.463    -80.322      0.000
     0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000     -7.968     -7.718    -15.894    -13.384    -40.823    -19.037      0.000
