# dL_mid, dL_binned_prob, dLm_detections
7.296282537345230139e+02 2.538948502038226307e-01 5.000000000000000000e+00
1.210764003193737608e+03 2.693988495662930638e-01 1.100000000000000000e+01
1.691899752652952429e+03 1.589620605711933032e-01 1.000000000000000000e+01
2.173035502112167251e+03 9.491546080347379455e-02 8.000000000000000000e+00
2.654171251571382072e+03 4.793135232625014841e-02 5.000000000000000000e+00
3.135307001030596894e+03 2.443624253609903013e-02 3.000000000000000000e+00
3.616442750489811715e+03 2.148953070995135439e-02 3.000000000000000000e+00
4.097578499949026082e+03 1.291425178033995744e-02 2.000000000000000000e+00
4.578714249408240903e+03 0.000000000000000000e+00 0.000000000000000000e+00
5.059849998867455724e+03 1.104587939322464879e-02 2.000000000000000000e+00
5.540985748326669636e+03 0.000000000000000000e+00 0.000000000000000000e+00
6.022121497785885367e+03 0.000000000000000000e+00 0.000000000000000000e+00
6.503257247245099279e+03 0.000000000000000000e+00 0.000000000000000000e+00
6.984392996704315010e+03 0.000000000000000000e+00 0.000000000000000000e+00
7.465528746163528922e+03 0.000000000000000000e+00 0.000000000000000000e+00
7.946664495622744653e+03 0.000000000000000000e+00 0.000000000000000000e+00
8.427800245081958565e+03 0.000000000000000000e+00 0.000000000000000000e+00
8.908935994541174296e+03 0.000000000000000000e+00 0.000000000000000000e+00
9.390071744000388207e+03 0.000000000000000000e+00 0.000000000000000000e+00
