# dL_mid, dL_binned_prob, dLm_detections
7.340775899005539031e+02 6.590211986920345488e+00 1.000000000000000000e+00
7.833329356660392477e+02 0.000000000000000000e+00 0.000000000000000000e+00
8.325882814315248197e+02 0.000000000000000000e+00 0.000000000000000000e+00
8.818436271970102780e+02 0.000000000000000000e+00 0.000000000000000000e+00
9.310989729624957363e+02 0.000000000000000000e+00 0.000000000000000000e+00
9.803543187279811946e+02 0.000000000000000000e+00 0.000000000000000000e+00
1.029609664493466653e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.078865010258952225e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.128120356024437569e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.177375701789923141e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.226631047555408486e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.275886393320894058e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.325141739086379630e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.374397084851864975e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.423652430617350547e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.472907776382835891e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.522163122148321463e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.571418467913806808e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.620673813679292380e+03 0.000000000000000000e+00 0.000000000000000000e+00
