# dL_mid, dL_binned_prob, dLm_detections
6.500481231208033250e+01 4.373857989254542056e-01 1.390000000000000000e+02
1.426180285093890916e+02 3.266782144428503343e-01 4.310000000000000000e+02
2.202312447066978507e+02 1.836300681216885833e-01 5.360000000000000000e+02
2.978444609040066098e+02 9.284796802652968417e-02 4.650000000000000000e+02
3.754576771013153120e+02 5.373486107736472062e-02 4.030000000000000000e+02
4.530708932986241280e+02 2.480092437133761887e-02 2.560000000000000000e+02
5.306841094959329439e+02 1.118017621271539044e-02 1.500000000000000000e+02
6.082973256932416461e+02 3.764732741243150427e-03 6.300000000000000000e+01
6.859105418905503484e+02 1.037832975751786912e-03 2.100000000000000000e+01
7.635237580878590506e+02 3.349645365991620093e-04 8.000000000000000000e+00
8.411369742851679803e+02 1.084938068564160100e-04 3.000000000000000000e+00
9.187501904824766825e+02 0.000000000000000000e+00 0.000000000000000000e+00
9.963634066797853848e+02 2.820661388261086282e-05 1.000000000000000000e+00
1.073976622877094087e+03 2.535026062191354915e-05 1.000000000000000000e+00
1.151589839074403017e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.229203055271711719e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.306816271469020421e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.384429487666329123e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.462042703863638053e+03 0.000000000000000000e+00 0.000000000000000000e+00
