# dL_mid, dL_binned_prob, dLm_detections
7.350790072601004113e+02 5.125113445980273852e-01 8.969000000000000000e+03
2.097413652365497455e+03 2.681522800008446228e-01 1.767800000000000000e+04
3.459748297470894613e+03 1.264513556191058374e-01 1.383700000000000000e+04
4.822082942576291316e+03 5.958015741699767415e-02 8.511000000000000000e+03
6.184417587681688019e+03 2.936626638081337240e-02 4.923000000000000000e+03
7.546752232787084722e+03 1.518549496957942620e-02 2.820000000000000000e+03
8.909086877892481425e+03 7.340216516312092140e-03 1.458000000000000000e+03
1.027142152299787995e+04 3.756153320205996623e-03 7.800000000000000000e+02
1.163375616810327483e+04 2.040057962414868354e-03 4.360000000000000000e+02
1.299609081320867335e+04 9.424592976723347899e-04 2.050000000000000000e+02
1.435842545831406824e+04 4.645205962610849445e-04 1.020000000000000000e+02
1.572076010341946676e+04 1.543213912722886459e-04 3.400000000000000000e+01
1.708309474852486528e+04 1.045265475836296392e-04 2.300000000000000000e+01
1.844542939363026380e+04 4.566625186589624846e-05 1.000000000000000000e+01
1.980776403873565869e+04 3.681136221740534517e-05 8.000000000000000000e+00
2.117009868384105357e+04 1.858605558493811911e-05 4.000000000000000000e+00
2.253243332894645573e+04 1.880012999537718406e-05 4.000000000000000000e+00
2.389476797405185062e+04 4.760546514707400786e-06 1.000000000000000000e+00
2.525710261915724550e+04 4.826946165811358427e-06 1.000000000000000000e+00
