# dL_mid, dL_binned_prob, dLm_detections
7.999537930947133191e+02 3.307781905991748483e-01 5.000000000000000000e+00
1.111794007126285805e+03 2.052338414139777134e-01 5.000000000000000000e+00
1.423634221157858292e+03 2.943109755374227754e-02 1.000000000000000000e+00
1.735474435189430778e+03 4.590253934869150537e-02 2.000000000000000000e+00
2.047314649221003265e+03 5.668357833228331727e-02 3.000000000000000000e+00
2.359154863252575524e+03 3.229812114326192224e-02 2.000000000000000000e+00
2.670995077284147555e+03 0.000000000000000000e+00 0.000000000000000000e+00
2.982835291315720497e+03 1.271794078159999009e-02 1.000000000000000000e+00
3.294675505347292528e+03 2.317528346767737391e-02 2.000000000000000000e+00
3.606515719378865469e+03 0.000000000000000000e+00 0.000000000000000000e+00
3.918355933410437501e+03 0.000000000000000000e+00 0.000000000000000000e+00
4.230196147442010442e+03 0.000000000000000000e+00 0.000000000000000000e+00
4.542036361473582474e+03 0.000000000000000000e+00 0.000000000000000000e+00
4.853876575505155415e+03 8.467108755505480325e-03 1.000000000000000000e+00
5.165716789536727447e+03 0.000000000000000000e+00 0.000000000000000000e+00
5.477557003568300388e+03 0.000000000000000000e+00 0.000000000000000000e+00
5.789397217599872420e+03 0.000000000000000000e+00 0.000000000000000000e+00
6.101237431631445361e+03 0.000000000000000000e+00 0.000000000000000000e+00
6.413077645663017393e+03 0.000000000000000000e+00 0.000000000000000000e+00
