# dL_mid, dL_binned_prob, dLm_detections
4.794202653809916796e+02 2.015289094800662151e-01 1.100000000000000000e+01
1.102791566642374846e+03 2.793717792610257988e-01 5.200000000000000000e+01
1.726162867903758070e+03 2.218051213168075741e-01 7.400000000000000000e+01
2.349534169165141066e+03 2.167997385678051836e-01 1.030000000000000000e+02
2.972905470426524062e+03 1.357490505768174927e-01 8.200000000000000000e+01
3.596276771687907512e+03 1.043059158701270528e-01 7.500000000000000000e+01
4.219648072949290508e+03 6.338494263201639722e-02 5.200000000000000000e+01
4.843019374210673050e+03 3.299964361317846845e-02 3.000000000000000000e+01
5.466390675472057410e+03 2.230327076811564405e-02 2.200000000000000000e+01
6.089761976733439951e+03 1.803490598697947075e-02 1.900000000000000000e+01
6.713133277994822492e+03 5.397707416650201172e-03 6.000000000000000000e+00
7.336504579256206853e+03 4.304173122810473276e-03 5.000000000000000000e+00
7.959875880517589394e+03 4.980520921994863702e-03 6.000000000000000000e+00
8.583247181778970116e+03 1.610945776587466771e-03 2.000000000000000000e+00
9.206618483040354477e+03 3.142580442343206621e-03 4.000000000000000000e+00
9.829989784301738837e+03 7.696223995403950972e-04 1.000000000000000000e+00
1.045336108556311956e+04 0.000000000000000000e+00 0.000000000000000000e+00
1.107673238682450392e+04 0.000000000000000000e+00 0.000000000000000000e+00
1.170010368808588828e+04 0.000000000000000000e+00 0.000000000000000000e+00
