# dL_mid, dL_binned_prob, dLm_detections
1.020485538020880085e+02 5.675299145382567412e-01 1.380000000000000000e+02
2.373449449119358121e+02 3.417603662846814827e-01 3.650000000000000000e+02
3.726413360217835589e+02 2.125415927729143450e-01 4.990000000000000000e+02
5.079377271316313909e+02 1.075806792860636851e-01 4.250000000000000000e+02
6.432341182414793366e+02 5.862475977749858486e-02 3.390000000000000000e+02
7.785305093513270549e+02 3.420863075718384022e-02 2.660000000000000000e+02
9.138269004611747732e+02 1.396743474898026402e-02 1.380000000000000000e+02
1.049123291571022719e+03 8.376292136938372559e-03 1.010000000000000000e+02
1.184419682680870437e+03 3.361237196365021457e-03 4.800000000000000000e+01
1.319716073790718383e+03 1.754793067029128493e-03 2.900000000000000000e+01
1.455012464900566101e+03 4.260261758261230602e-04 8.000000000000000000e+00
1.590308856010413820e+03 4.756571090293327793e-05 1.000000000000000000e+00
1.725605247120261538e+03 1.290201603239899862e-04 3.000000000000000000e+00
1.860901638230109484e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.996198029339957429e+03 3.619278277779270747e-05 1.000000000000000000e+00
2.131494420449805148e+03 0.000000000000000000e+00 0.000000000000000000e+00
2.266790811559652866e+03 0.000000000000000000e+00 0.000000000000000000e+00
2.402087202669500584e+03 0.000000000000000000e+00 0.000000000000000000e+00
2.537383593779348303e+03 0.000000000000000000e+00 0.000000000000000000e+00
